x1,x2,x3,x4,x5,x6,x7,x8
-144.27171713411084,-272.8558010046163,-10886.925228680044,-3090.496807955729,-4.81210870915157,-5386.307104808306,-1919.7230128506517,-94.25072480499473
-222.20381159134357,-44.57584445807707,-12341.144182920661,-3932.917050622867,-92.05762760526729,-6629.919559137704,-2270.387629676095,-144.30628427295113
-171.09676661564123,-52.921797479959345,-7169.872757653571,-2521.7844349165275,-131.37823161546325,-3872.4575081319454,-804.1513463688176,-70.58052027250008
-645.3280223453492,-1201.4670806272634,-14290.477486257847,-4100.961216587404,-406.6384675089174,-4123.162328073815,-24.298771323912646,-469.6648876370685
-718.9254365992336,-1651.0554786119005,-15852.266840439834,-4388.828219267401,-412.5203874847485,-4458.518043336045,-23.428599383053683,-472.7503194799606
-35.599952208540266,-318.1095916101752,-5549.003984174551,-1153.4214417535266,-64.13727921842117,-1821.3687429361262,-672.6718469999424,-58.03576924085471
-223.5118058788919,-1192.676864918308,-17657.378307415118,-4680.098771372198,-8.045707174157826,-6159.872702169499,-914.1998283387452,-54.091057192969245
-89.45571523948298,-654.1246390928602,-13778.080125808703,-3433.5877922316877,-9.189574032573278,-5051.271946129319,-961.6620304163808,-70.13710522788718
-151.46150302658168,-765.8923999969019,-18314.665865150517,-5195.502107913995,-23.014097070943254,-7257.156437376758,-1932.8537120591243,-22.58981905377123
-3.851368777332889,-478.6954579310455,-12197.455764808748,-2708.3769959128176,-179.63716525610636,-4243.869453591965,-1066.7469181039069,-102.58950281983789
-126.39591575509797,-155.03036319112306,-6692.611109492016,-1622.9206094327217,-39.68459392433312,-2975.921060899963,-1315.4133545243428,-24.809067373808674
-64.36621037577653,-302.4702123570306,-9541.254441401437,-2133.48744667117,-83.56387945654589,-3495.301957773035,-1185.0827776652914,-8.211707612116856
-2505.2636858534233,-3009.3630031977873,-3840.277371548208,-1298.834801189036,-2269.3679635585386,-7.274562129326883,-2015.3164994866577,-2398.7637239804208
-2155.520967401991,-2914.5934539871087,-3323.389585579124,-650.0429096803729,-1940.788285416196,-58.610804689837565,-1928.3322558983182,-2154.239950361915
-238.45369931490183,-416.1375680138416,-1821.0128599034879,-603.7015031127971,-199.4560564887381,-751.7818653700443,-406.60140110610394,-211.38141592757327
-205.78164341241555,-585.6639883567042,-6028.0472901286585,-1347.0470451042224,-6.661466453151023,-2344.2955583793287,-1316.5319443910282,-98.90827787520575
-255.53333377759841,-825.1007673901566,-6419.290027029329,-1369.6599426755686,-109.91070934902051,-1338.4855160997197,-200.86285062939405,-236.75500575483034
-262.31170819874984,-1080.1376787296945,-13973.687815804904,-3677.904066767874,-78.0764585533036,-3935.8103567914536,-227.25090062004196,-161.72914280622055
-58.02212510905951,-336.01493242632836,-7900.276851468484,-1874.9393139522524,-35.3184599967027,-2941.5845229241995,-764.434557296516,-28.760412402491788
-485.79522038062487,-879.6723250943113,-8627.989663452463,-2227.5450032268145,-362.57161903863084,-2261.8497600166625,-35.233662450285756,-392.80146279808844
-57.20411353503374,-372.7290138551674,-12646.739551155088,-2686.6127553692254,-100.67092515732152,-4465.350501908133,-1483.7117080353237,-8.027972467783608
-14.164850487573164,-494.6384931303623,-10917.88791046822,-2699.9792819100007,-68.81319365078635,-4323.907073842636,-1052.119728656229,-88.82196717628804
-572.7123071963263,-822.8147660206945,-7003.944720655316,-2200.853195028101,-441.5094312291116,-2280.737489362022,-21.665181045948216,-502.4155253780801
-2002.1672611386894,-2911.81596755188,-16340.64039038123,-5589.949193712523,-1588.3060192023427,-4966.311933778572,-0.0673715808974268,-1815.5825286422166
-17.90936285018977,-209.2171703878207,-6536.840165642395,-1383.9480085358243,-132.6807099031603,-2944.221075898462,-1453.0218405686546,-78.42469290889437
-1354.0312767218425,-1753.3347867009106,-2893.2927274861995,-526.7922936458707,-1216.6030841323354,-101.30718745600895,-1471.936730545901,-1282.164934327383
-1427.0193596200322,-1767.3530975995238,-1990.9919417658027,-243.11130372265896,-1325.2358014286865,-236.03863402806493,-1671.8311531402103,-1382.7750506352327
-154.12897024568187,-864.3481712310422,-16676.47941398856,-4506.468720113264,-10.145292335715778,-5732.348310545758,-633.4129514477316,-81.5550166098979
-80.30705789270084,-389.88837262901797,-2915.557982991417,-747.1338309513391,-63.33937008251718,-2032.505064338551,-1256.351255766986,-95.38141736518692
